Date,time_ist,temp_c,humidity,pressure_mb,windspeed_kph,condition_text,aqi_index,pm2_5,pm10,co,no2,Datetime
04-01-2026,10:00:00,11.3,89,996.3,8.8,Overcast,200,129.9,132.2,1338,20.5,2026-01-04 10:00:00
04-01-2026,11:00:00,13.1,81,995.9,8.1,Partly cloudy,200,122.5,125.3,1169,18.2,2026-01-04 11:00:00
04-01-2026,12:00:00,14.6,77,994.7,6.3,Clear sky,200,115.5,118.3,1079,15.4,2026-01-04 12:00:00
04-01-2026,13:00:00,15.8,73,993.5,6.2,Clear sky,200,108.7,111.8,1037,13.1,2026-01-04 13:00:00
04-01-2026,14:00:00,16.5,72,992.6,6.3,Clear sky,201,103.6,106.6,1085,14.1,2026-01-04 14:00:00
04-01-2026,15:00:00,16.9,70,992.3,6.9,Clear sky,201,99.4,102.7,1291,21.0,2026-01-04 15:00:00
04-01-2026,16:00:00,16.5,72,992.2,6.0,Clear sky,201,100.4,102.9,1586,31.3,2026-01-04 16:00:00
04-01-2026,17:00:00,14.9,80,992.2,4.7,Clear sky,202,148.5,151.8,1813,52.6,2026-01-04 17:00:00
04-01-2026,18:00:00,12.2,88,994.1,2.8,Clear sky,202,157.4,160.7,1910,55.0,2026-01-04 18:00:00
04-01-2026,19:00:00,11.4,90,994.4,3.6,Mainly clear,201,162.1,165.3,1939,58.0,2026-01-04 19:00:00
04-01-2026,20:00:00,10.9,92,994.7,4.0,Clear sky,200,167.6,170.4,1917,58.6,2026-01-04 20:00:00
05-01-2026,09:00:00,9.3,96,994.7,8.1,Overcast,200,141.1,143.0,1494,23.3,2026-01-05 09:00:00
05-01-2026,10:00:00,11.0,90,994.9,8.5,Overcast,200,129.9,132.2,1294,20.5,2026-01-05 10:00:00
05-01-2026,11:00:00,13.1,81,994.5,8.6,Partly cloudy,200,122.5,125.3,1131,18.2,2026-01-05 11:00:00
05-01-2026,12:00:00,14.7,77,993.2,6.2,Clear sky,200,115.5,118.3,1034,15.4,2026-01-05 12:00:00
05-01-2026,13:00:00,15.9,73,992.1,6.2,Clear sky,200,108.7,111.8,974,13.1,2026-01-05 13:00:00
05-01-2026,14:00:00,16.7,71,991.2,6.5,Clear sky,201,103.6,106.6,992,14.1,2026-01-05 14:00:00
05-01-2026,15:00:00,17.0,69,990.9,7.4,Clear sky,201,99.4,102.7,1143,21.0,2026-01-05 15:00:00
05-01-2026,16:00:00,16.5,72,990.8,6.5,Clear sky,201,100.4,102.9,1370,31.3,2026-01-05 16:00:00
05-01-2026,17:00:00,14.8,80,990.8,5.2,Clear sky,202,148.5,151.8,1543,52.6,2026-01-05 17:00:00
05-01-2026,18:00:00,12.4,86,992.5,2.3,Clear sky,202,157.4,160.7,1605,55.0,2026-01-05 18:00:00
05-01-2026,19:00:00,11.6,89,992.9,3.2,Mainly clear,201,162.1,165.3,1613,58.0,2026-01-05 19:00:00
05-01-2026,20:00:00,11.1,90,993.2,3.1,Clear sky,200,167.6,170.4,1603,58.6,2026-01-05 20:00:00
05-01-2026,21:00:00,10.3,93,993.3,3.7,Clear sky,199,171.8,174.6,1587,55.1,2026-01-05 21:00:00
05-01-2026,22:00:00,9.6,95,993.1,4.3,Clear sky,198,175.1,178.3,1553,49.2,2026-01-05 22:00:00
05-01-2026,23:00:00,9.1,96,992.7,4.6,Clear sky,198,174.2,177.0,1504,42.6,2026-01-05 23:00:00
06-01-2026,00:00:00,8.0,100,994.4,2.8,Overcast,197,193.7,197.0,1724,74.2,2026-01-06 00:00:00
06-01-2026,01:00:00,7.8,100,993.9,3.0,Overcast,198,180.7,183.9,1585,58.6,2026-01-06 01:00:00
06-01-2026,02:00:00,7.2,100,993.4,3.8,Overcast,199,167.6,170.4,1470,45.0,2026-01-06 02:00:00
06-01-2026,03:00:00,7.0,100,993.2,4.7,Overcast,201,153.2,156.0,1387,33.8,2026-01-06 03:00:00
06-01-2026,04:00:00,7.0,99,993.0,5.6,Overcast,202,141.6,144.4,1327,24.6,2026-01-06 04:00:00
06-01-2026,05:00:00,7.3,99,993.1,6.5,Overcast,203,168.1,170.0,1288,46.3,2026-01-06 05:00:00
06-01-2026,06:00:00,7.7,96,993.9,3.3,Overcast,204,152.7,155.1,1286,42.2,2026-01-06 06:00:00
06-01-2026,07:00:00,7.9,96,994.4,4.8,Overcast,204,145.8,148.1,1306,36.3,2026-01-06 07:00:00
06-01-2026,08:00:00,8.4,92,994.9,5.9,Overcast,203,136.0,138.8,1293,31.2,2026-01-06 08:00:00
06-01-2026,09:00:00,9.1,96,995.5,8.7,Overcast,202,133.6,136.0,1217,27.7,2026-01-06 09:00:00
06-01-2026,16:00:00,16.2,72,991.5,7.1,Clear sky,205,93.4,95.9,1044,34.3,2026-01-06 16:00:00
06-01-2026,17:00:00,14.5,80,991.6,6.3,Mainly clear,205,149.0,152.7,1169,61.5,2026-01-06 17:00:00
06-01-2026,18:00:00,12.1,86,993.1,3.3,Clear sky,205,162.5,165.8,1264,64.2,2026-01-06 18:00:00
06-01-2026,19:00:00,11.4,89,993.4,4.6,Clear sky,204,165.8,169.0,1349,67.7,2026-01-06 19:00:00
06-01-2026,20:00:00,10.6,91,993.9,4.6,Mainly clear,202,167.6,170.4,1416,68.6,2026-01-06 20:00:00
06-01-2026,21:00:00,10.2,93,994.0,5.0,Mainly clear,200,168.6,171.8,1468,65.4,2026-01-06 21:00:00
06-01-2026,22:00:00,9.9,94,993.7,5.4,Mainly clear,199,170.9,174.2,1503,59.7,2026-01-06 22:00:00
07-01-2026,10:00:00,12.1,84,993.4,9.4,Partly cloudy,202,128.1,130.9,1305,24.9,2026-01-07 10:00:00
07-01-2026,11:00:00,13.6,80,993.0,7.8,Partly cloudy,203,120.6,123.9,1188,22.2,2026-01-07 11:00:00
07-01-2026,12:00:00,14.9,75,991.8,7.2,Clear sky,204,112.2,115.3,1093,18.2,2026-01-07 12:00:00
07-01-2026,13:00:00,16.0,72,990.7,6.2,Clear sky,204,103.8,107.1,1017,14.4,2026-01-07 13:00:00
07-01-2026,14:00:00,16.8,69,989.8,6.6,Clear sky,205,96.2,99.4,1022,14.8,2026-01-07 14:00:00
07-01-2026,15:00:00,17.0,69,989.5,7.0,Clear sky,205,92.4,95.5,1177,22.5,2026-01-07 15:00:00
07-01-2026,16:00:00,16.5,72,989.4,6.7,Clear sky,205,93.4,95.9,1413,34.3,2026-01-07 16:00:00
07-01-2026,17:00:00,14.9,80,989.4,5.6,Clear sky,205,149.0,152.7,1595,61.5,2026-01-07 17:00:00
07-01-2026,18:00:00,12.1,88,991.1,3.6,Clear sky,205,162.5,165.8,1666,64.2,2026-01-07 18:00:00
07-01-2026,19:00:00,11.5,90,991.3,4.2,Clear sky,204,165.8,169.0,1683,67.7,2026-01-07 19:00:00
