Datetime,Date,time_ist,temp_c,humidity,pressure_mb,windspeed_kph,condition_text,aqi_index,pm2_5,pm10,co,no2,temp_c_api,humidity_api,pressure_api,windspeed_kph_api,condition_text_api,pm2_5_govt,pm10_govt,no2_govt,co_govt
2026-01-02 00:00:00,01-02-2026,00:00:00,10.1,96.0,988.8,6.0,Clear sky,216.0,179.7,185.3,2027.0,77.6,13.9,90.0,992.2,5.8,Partly cloudy,185.0,244.5,17.825,0.866666667
2026-01-02 01:00:00,01-02-2026,01:00:00,9.4,96.0,988.5,4.6,Clear sky,215.0,176.5,182.5,1905.0,64.3,13.4,89.0,992.6,5.0,Partly cloudy,184.5,239.25,14.475,0.775
2026-01-02 02:00:00,,,,,,,,,,,,,13.4,88.0,991.8,7.5,Partly cloudy,172.75,225.75,15.4,
2026-01-02 03:00:00,,,,,,,,,,,,,12.7,91.0,992.6,6.3,Drizzle,172.75,229.0,16.925,
2026-01-02 04:00:00,,,,,,,,,,,,,12.1,93.0,992.1,9.0,Partly cloudy,182.5,258.25,15.275,
2026-01-02 05:00:00,,,,,,,,,,,,,13.1,93.0,992.1,8.3,Partly cloudy,177.0,254.25,14.425,0.6
2026-01-02 06:00:00,,,,,,,,,,,,,12.4,95.0,992.2,5.0,Clear sky,178.0,255.75,13.8,0.7
2026-01-02 07:00:00,,,,,,,,,,,,,12.4,95.0,992.8,6.7,Partly cloudy,183.5,264.25,12.1,0.7
2026-01-02 08:00:00,,,,,,,,,,,,,13.8,94.0,993.7,7.8,Partly cloudy,161.0,226.25,11.625,0.75
2026-01-02 09:00:00,,,,,,,,,,,,,15.7,87.0,994.3,5.4,Clear sky,154.25,222.0,13.125,0.866666667
2026-01-02 10:00:00,01-02-2026,10:00:00,12.2,90.0,992.0,9.6,Mainly clear,217.0,178.8,184.9,1617.0,36.5,17.7,80.0,994.6,4.8,Clear sky,163.75,236.25,14.45,0.9
2026-01-02 11:00:00,01-02-2026,11:00:00,14.4,82.0,991.4,6.3,Clear sky,217.0,160.7,168.1,1549.0,29.7,18.6,71.0,994.9,8.9,Clear sky,176.5,252.25,16.6,1.0
2026-01-02 12:00:00,01-02-2026,12:00:00,16.0,77.0,990.3,5.9,Clear sky,218.0,136.9,144.8,1502.0,23.4,19.9,65.0,994.3,7.4,Partly cloudy,192.5,283.5,17.15,1.0
2026-01-02 13:00:00,01-02-2026,13:00:00,17.2,74.0,989.3,5.6,Clear sky,220.0,120.6,128.5,1470.0,18.2,20.5,64.0,993.3,6.8,Clear sky,203.25,299.5,17.2,0.85
2026-01-02 14:00:00,,,,,,,,,,,,,21.1,64.0,992.5,5.4,Clear sky,209.0,308.0,14.675,0.75
2026-01-02 15:00:00,01-02-2026,15:00:00,18.2,72.0,988.2,6.3,Clear sky,223.0,112.2,119.0,1609.0,26.4,21.5,62.0,992.3,5.5,Partly cloudy,190.5,273.75,12.55,0.675
2026-01-02 16:00:00,01-02-2026,16:00:00,17.8,75.0,987.8,6.7,Clear sky,225.0,115.3,120.6,1780.0,39.8,21.1,64.0,992.3,5.1,Partly cloudy,164.25,228.5,11.975,0.5
2026-01-02 17:00:00,01-02-2026,17:00:00,16.2,81.0,987.5,6.6,Clear sky,227.0,116.2,120.1,1902.0,44.5,20.0,74.0,991.9,4.6,Clear sky,150.25,201.0,14.125,0.55
2026-01-02 18:00:00,,,,,,,,,,,,,18.4,81.0,992.2,5.7,Clear sky,188.0,288.0,21.75,0.6
2026-01-02 19:00:00,01-02-2026,19:00:00,13.6,88.0,989.0,8.4,Clear sky,221.0,135.0,138.3,1907.0,50.0,17.0,86.0,992.4,4.1,Clear sky,246.5,407.75,26.075,0.7
2026-01-02 20:00:00,01-02-2026,20:00:00,13.1,90.0,989.8,7.1,Clear sky,218.0,137.4,140.2,1876.0,51.1,16.2,88.0,992.9,2.7,Clear sky,250.75,412.25,24.6,0.6
2026-01-02 21:00:00,01-02-2026,21:00:00,12.1,92.0,990.1,5.0,Clear sky,215.0,138.3,141.1,1846.0,48.6,15.2,92.0,993.4,2.3,Clear sky,249.0,392.0,22.65,0.6
2026-01-02 22:00:00,01-02-2026,22:00:00,11.8,93.0,990.3,5.2,Clear sky,212.0,141.1,143.9,1807.0,44.1,14.2,95.0,993.7,4.6,Clear sky,247.25,362.5,25.25,0.6
2026-01-02 23:00:00,01-02-2026,23:00:00,11.6,93.0,990.1,5.4,Clear sky,210.0,143.9,146.7,1762.0,39.5,14.1,99.0,994.0,0.5,Clear sky,247.5,344.5,27.925,0.5
2026-01-03 00:00:00,01-03-2026,00:00:00,9.9,90.0,993.8,3.1,Clear sky,198.0,305.5,307.3,5774.0,147.6,19.0,67.0,982.9,5.6,Clear sky,228.75,300.25,27.125,0.5
2026-01-03 01:00:00,01-03-2026,01:00:00,9.6,91.0,993.5,2.2,Clear sky,206.0,299.0,300.8,5182.0,139.5,17.4,73.0,982.8,4.3,Clear sky,205.5,264.75,22.1,0.5
