Date,time_ist,Datetime,pm2_5_api,pm10_api,no2_api,co_api
01-01-2024,00:00:00,01-01-2024 00:00,185,244.5,17.825,0.866666667
01-01-2024,01:00:00,01-01-2024 01:00,184.5,239.25,14.475,0.775
01-01-2024,02:00:00,01-01-2024 02:00,172.75,225.75,15.4,
01-01-2024,03:00:00,01-01-2024 03:00,172.75,229,16.925,
01-01-2024,04:00:00,01-01-2024 04:00,182.5,258.25,15.275,
01-01-2024,05:00:00,01-01-2024 05:00,177,254.25,14.425,0.6
01-01-2024,06:00:00,01-01-2024 06:00,178,255.75,13.8,0.7
01-01-2024,07:00:00,01-01-2024 07:00,183.5,264.25,12.1,0.7
01-01-2024,08:00:00,01-01-2024 08:00,161,226.25,11.625,0.75
01-01-2024,09:00:00,01-01-2024 09:00,154.25,222,13.125,0.866666667
01-01-2024,10:00:00,01-01-2024 10:00,163.75,236.25,14.45,0.9
01-01-2024,11:00:00,01-01-2024 11:00,176.5,252.25,16.6,1
01-01-2024,12:00:00,01-01-2024 12:00,192.5,283.5,17.15,1
01-01-2024,13:00:00,01-01-2024 13:00,203.25,299.5,17.2,0.85
01-01-2024,14:00:00,01-01-2024 14:00,209,308,14.675,0.75
01-01-2024,15:00:00,01-01-2024 15:00,190.5,273.75,12.55,0.675
01-01-2024,16:00:00,01-01-2024 16:00,164.25,228.5,11.975,0.5
01-01-2024,17:00:00,01-01-2024 17:00,150.25,201,14.125,0.55
01-01-2024,18:00:00,01-01-2024 18:00,188,288,21.75,0.6
01-01-2024,19:00:00,01-01-2024 19:00,246.5,407.75,26.075,0.7
01-01-2024,20:00:00,01-01-2024 20:00,250.75,412.25,24.6,0.6
01-01-2024,21:00:00,01-01-2024 21:00,249,392,22.65,0.6
01-01-2024,22:00:00,01-01-2024 22:00,247.25,362.5,25.25,0.6
01-01-2024,23:00:00,01-01-2024 23:00,247.5,344.5,27.925,0.5
02-01-2024,00:00:00,02-01-2024 00:00,228.75,300.25,27.125,0.5
02-01-2024,01:00:00,02-01-2024 01:00,205.5,264.75,22.1,0.5
02-01-2024,02:00:00,02-01-2024 02:00,211.25,274.25,14.9,0.4
02-01-2024,03:00:00,02-01-2024 03:00,212.75,273.75,16.275,0.5
02-01-2024,04:00:00,02-01-2024 04:00,206.5,263.5,18.05,0.4
02-01-2024,05:00:00,02-01-2024 05:00,209.25,273.75,16.5,0.4
02-01-2024,06:00:00,02-01-2024 06:00,211.5,284,15.575,0.433333333
02-01-2024,07:00:00,02-01-2024 07:00,215,300.25,15.725,0.6
02-01-2024,08:00:00,02-01-2024 08:00,233,325,16.175,0.6
02-01-2024,09:00:00,02-01-2024 09:00,206,295,15.3,0.6
02-01-2024,10:00:00,02-01-2024 10:00,183.5,260.5,14.2,0.6
02-01-2024,11:00:00,02-01-2024 11:00,188.25,257,14.4,0.6
02-01-2024,12:00:00,02-01-2024 12:00,152.5,223.75,12.6,1
02-01-2024,13:00:00,02-01-2024 13:00,121.5,195.25,10.8,0.866666667
02-01-2024,14:00:00,02-01-2024 14:00,114.5,191.75,11.4,0.8
02-01-2024,15:00:00,02-01-2024 15:00,118.75,185.75,10.15,0.8
02-01-2024,16:00:00,02-01-2024 16:00,127.5,183.5,10.05,0.825
02-01-2024,17:00:00,02-01-2024 17:00,134.75,215.5,21.35,1.125
02-01-2024,18:00:00,02-01-2024 18:00,167,288.25,36.425,1.5
02-01-2024,19:00:00,02-01-2024 19:00,222.5,350.5,36.85,1.525
02-01-2024,20:00:00,02-01-2024 20:00,262.25,383.5,31.325,1.4
02-01-2024,21:00:00,02-01-2024 21:00,279,380.25,28.75,1.525
02-01-2024,22:00:00,02-01-2024 22:00,245.25,345.5,27.475,1.475
02-01-2024,23:00:00,02-01-2024 23:00,216.75,316.75,27.5,1.4
03-01-2024,00:00:00,03-01-2024 00:00,211.5,320.25,26.225,1.3
03-01-2024,01:00:00,03-01-2024 01:00,184.75,273.25,25.7,1.25
03-01-2024,02:00:00,03-01-2024 02:00,168.25,253,22.5,1
03-01-2024,03:00:00,03-01-2024 03:00,156.5,250,23.525,1.2
03-01-2024,04:00:00,03-01-2024 04:00,154.25,265,17.65,1.15
03-01-2024,05:00:00,03-01-2024 05:00,152,260.25,15.35,1.1
03-01-2024,06:00:00,03-01-2024 06:00,149.25,266.75,12.4,1.1
03-01-2024,07:00:00,03-01-2024 07:00,139.5,236.25,10.35,1
03-01-2024,08:00:00,03-01-2024 08:00,135.75,201.75,15.075,1.1
03-01-2024,09:00:00,03-01-2024 09:00,143.5,206.75,18.075,1.2
03-01-2024,10:00:00,03-01-2024 10:00,167,222.25,21.925,1.325
03-01-2024,11:00:00,03-01-2024 11:00,198.25,259.25,20.525,1.5
03-01-2024,12:00:00,03-01-2024 12:00,227,303.25,22.2,1.5
03-01-2024,13:00:00,03-01-2024 13:00,216.25,292,17.8,1.3
03-01-2024,14:00:00,03-01-2024 14:00,207,277.5,17.75,1.325
03-01-2024,15:00:00,03-01-2024 15:00,224.75,290,18.275,1.4
03-01-2024,16:00:00,03-01-2024 16:00,228.5,294.75,20.175,1.425
03-01-2024,17:00:00,03-01-2024 17:00,218.25,293.25,26.1,1.475
03-01-2024,18:00:00,03-01-2024 18:00,237.5,313.75,35.35,1.8
03-01-2024,19:00:00,03-01-2024 19:00,292.25,386.5,44.375,2.375
03-01-2024,20:00:00,03-01-2024 20:00,393,516.75,44.025,3.2
03-01-2024,21:00:00,03-01-2024 21:00,446,623,40.5,4.475
03-01-2024,22:00:00,03-01-2024 22:00,409.5,610,36.9,4.325
03-01-2024,23:00:00,03-01-2024 23:00,429,586.5,32.325,3.85
04-01-2024,00:00:00,04-01-2024 00:00,415.25,547.25,24,1.6
04-01-2024,01:00:00,04-01-2024 01:00,255.5,356,19,1.225
04-01-2024,02:00:00,04-01-2024 02:00,219.75,306,16,0.9
04-01-2024,03:00:00,04-01-2024 03:00,213.25,295,15.75,1.1
04-01-2024,04:00:00,04-01-2024 04:00,222.25,295.25,14.425,1.05
04-01-2024,05:00:00,04-01-2024 05:00,197.5,264.5,15.5,1
04-01-2024,06:00:00,04-01-2024 06:00,208.25,278,16.3,1.033333333
04-01-2024,07:00:00,04-01-2024 07:00,207,282,16.8,1.1
04-01-2024,08:00:00,04-01-2024 08:00,222,291.25,14.675,1.15
04-01-2024,09:00:00,04-01-2024 09:00,207.25,290.25,14.3,1.15
04-01-2024,10:00:00,04-01-2024 10:00,218,306.25,14.1,1.2
04-01-2024,11:00:00,04-01-2024 11:00,223.25,297.75,16.5,1.3
04-01-2024,12:00:00,04-01-2024 12:00,232.5,328.5,17,1.266666667
04-01-2024,13:00:00,04-01-2024 13:00,237,332.75,30.925,1.5325
04-01-2024,14:00:00,04-01-2024 14:00,226.75,309.75,32.725,1.56
04-01-2024,15:00:00,04-01-2024 15:00,226.75,324.75,32.9,1.575
04-01-2024,16:00:00,04-01-2024 16:00,239.5,335,34.4,1.5275
04-01-2024,17:00:00,04-01-2024 17:00,244.5,362,36.9,1.725
04-01-2024,18:00:00,04-01-2024 18:00,233.75,345.5,37.375,1.566666667
04-01-2024,19:00:00,04-01-2024 19:00,193.5,263.75,34.4,1.5325
04-01-2024,20:00:00,04-01-2024 20:00,180.75,242.75,34.575,1.4775
04-01-2024,21:00:00,04-01-2024 21:00,177.75,236,34.4,1.495
04-01-2024,22:00:00,04-01-2024 22:00,193.5,271.25,33.15,1.525
04-01-2024,23:00:00,04-01-2024 23:00,207,303,32.15,1.3425
05-01-2024,00:00:00,05-01-2024 00:00,208,326.5,31.975,1.16
05-01-2024,01:00:00,05-01-2024 01:00,199.75,325.25,28.225,1.1025
05-01-2024,02:00:00,05-01-2024 02:00,163.5,292,22.4,0.71
05-01-2024,03:00:00,05-01-2024 03:00,153,268.25,22.8,0.9375
05-01-2024,04:00:00,05-01-2024 04:00,134.25,233,19.3,0.7325
05-01-2024,05:00:00,05-01-2024 05:00,104.5,154.25,20.375,0.7125
05-01-2024,06:00:00,05-01-2024 06:00,99.75,158.5,18.4,0.61
05-01-2024,07:00:00,05-01-2024 07:00,93,153.75,22.25,0.9025
05-01-2024,08:00:00,05-01-2024 08:00,107,182.5,23.925,1.0075
05-01-2024,09:00:00,05-01-2024 09:00,126.25,248.5,27.6,1.105
05-01-2024,10:00:00,05-01-2024 10:00,143.5,265.5,31.2,1.17
05-01-2024,11:00:00,05-01-2024 11:00,165.5,293,35.475,1.4075
05-01-2024,12:00:00,05-01-2024 12:00,197.25,346.5,39.525,1.48
05-01-2024,13:00:00,05-01-2024 13:00,211,353.25,35.375,1.315
05-01-2024,14:00:00,05-01-2024 14:00,206.75,383.5,41.325,1.6625
05-01-2024,15:00:00,05-01-2024 15:00,226.75,432,39.4,1.7975
05-01-2024,16:00:00,05-01-2024 16:00,187.5,276.75,34.55,1.3175
05-01-2024,17:00:00,05-01-2024 17:00,185,265.75,36.75,1.3975
05-01-2024,18:00:00,05-01-2024 18:00,198.25,301,38.55,1.326666667
05-01-2024,19:00:00,05-01-2024 19:00,183,268.75,34.575,1.1475
05-01-2024,20:00:00,05-01-2024 20:00,152,222,32.875,1.095
05-01-2024,21:00:00,05-01-2024 21:00,143.75,201.25,30.575,1.0025
05-01-2024,22:00:00,05-01-2024 22:00,127.75,169.5,25.45,0.88
05-01-2024,23:00:00,05-01-2024 23:00,122,151,22.05,0.8075
06-01-2024,00:00:00,06-01-2024 00:00,107,143.25,18.825,0.68
06-01-2024,01:00:00,06-01-2024 01:00,111,140.75,20.55,0.64
06-01-2024,02:00:00,06-01-2024 02:00,120,147.5,17.8,0.48
06-01-2024,03:00:00,06-01-2024 03:00,112.5,145.25,19.725,0.595
06-01-2024,04:00:00,06-01-2024 04:00,120.75,159.75,18.15,0.6075
06-01-2024,05:00:00,06-01-2024 05:00,132,184.25,18.975,0.6725
06-01-2024,06:00:00,06-01-2024 06:00,131.5,189.25,27.125,0.746666667
06-01-2024,07:00:00,06-01-2024 07:00,129.75,190.75,29.85,0.795
06-01-2024,08:00:00,06-01-2024 08:00,128.75,184.25,32.325,0.8925
06-01-2024,09:00:00,06-01-2024 09:00,141.75,211.5,32.975,1.0075
06-01-2024,10:00:00,06-01-2024 10:00,201,325,31.225,1.0025
