Datetime,Date,time_ist,temp_c,humidity,pressure_mb,windspeed_kph,condition_text,aqi_index,pm2_5,pm10,co,no2,temp_c_api,humidity_api,pressure_api,windspeed_kph_api,condition_text_api
2026-01-04 00:00:00,,,,,,,,,,,,,9.1,92.0,992.7,3.6,Clear sky
2026-01-04 01:00:00,,,,,,,,,,,,,8.9,92.0,992.5,3.4,Clear sky
2026-01-04 02:00:00,,,,,,,,,,,,,8.7,93.0,992.5,4.3,Partly cloudy
2026-01-04 03:00:00,,,,,,,,,,,,,8.8,93.0,992.4,3.5,Partly cloudy
2026-01-04 04:00:00,,,,,,,,,,,,,9.6,93.0,992.1,4.5,Partly cloudy
2026-01-04 05:00:00,,,,,,,,,,,,,8.2,99.0,992.1,6.4,Partly cloudy
2026-01-04 06:00:00,,,,,,,,,,,,,8.7,98.0,992.6,5.6,Partly cloudy
2026-01-04 07:00:00,,,,,,,,,,,,,9.4,95.0,993.5,5.8,Partly cloudy
2026-01-04 08:00:00,,,,,,,,,,,,,10.4,90.0,994.5,5.5,Partly cloudy
2026-01-04 09:00:00,,,,,,,,,,,,,11.6,85.0,995.4,5.5,Clear sky
2026-01-04 10:00:00,04-01-2026,10:00:00,11.3,89.0,996.3,8.8,Overcast,200.0,129.9,132.2,1338.0,20.5,13.9,77.0,995.9,5.2,Clear sky
2026-01-04 11:00:00,04-01-2026,11:00:00,13.1,81.0,995.9,8.1,Partly cloudy,200.0,122.5,125.3,1169.0,18.2,15.4,65.0,995.7,9.5,Partly cloudy
2026-01-04 12:00:00,04-01-2026,12:00:00,14.6,77.0,994.7,6.3,Clear sky,200.0,115.5,118.3,1079.0,15.4,15.8,63.0,994.9,7.9,Partly cloudy
2026-01-04 13:00:00,04-01-2026,13:00:00,15.8,73.0,993.5,6.2,Clear sky,200.0,108.7,111.8,1037.0,13.1,16.1,60.0,994.2,7.5,Drizzle
2026-01-04 14:00:00,04-01-2026,14:00:00,16.5,72.0,992.6,6.3,Clear sky,201.0,103.6,106.6,1085.0,14.1,16.7,58.0,993.7,7.4,Partly cloudy
2026-01-04 15:00:00,04-01-2026,15:00:00,16.9,70.0,992.3,6.9,Clear sky,201.0,99.4,102.7,1291.0,21.0,16.7,56.0,993.0,5.9,Partly cloudy
2026-01-04 16:00:00,04-01-2026,16:00:00,16.5,72.0,992.2,6.0,Clear sky,201.0,100.4,102.9,1586.0,31.3,16.4,58.0,992.7,4.2,Clear sky
2026-01-04 17:00:00,04-01-2026,17:00:00,14.9,80.0,992.2,4.7,Clear sky,202.0,148.5,151.8,1813.0,52.6,14.3,77.0,992.8,2.6,Partly cloudy
2026-01-04 18:00:00,04-01-2026,18:00:00,12.2,88.0,994.1,2.8,Clear sky,202.0,157.4,160.7,1910.0,55.0,13.4,76.0,993.2,0.9,Partly cloudy
2026-01-04 19:00:00,04-01-2026,19:00:00,11.4,90.0,994.4,3.6,Mainly clear,201.0,162.1,165.3,1939.0,58.0,12.7,80.0,994.1,3.2,Partly cloudy
2026-01-04 20:00:00,04-01-2026,20:00:00,10.9,92.0,994.7,4.0,Clear sky,200.0,167.6,170.4,1917.0,58.6,12.6,83.0,994.9,5.5,Partly cloudy
2026-01-04 21:00:00,,,,,,,,,,,,,12.1,86.0,995.5,5.8,Clear sky
2026-01-04 22:00:00,,,,,,,,,,,,,11.4,88.0,995.5,6.5,Partly cloudy
2026-01-04 23:00:00,,,,,,,,,,,,,11.0,89.0,995.3,8.7,Clear sky
2026-01-05 00:00:00,,,,,,,,,,,,,10.6,85.0,994.9,9.2,Clear sky
2026-01-05 01:00:00,,,,,,,,,,,,,10.4,84.0,994.8,8.0,Clear sky
2026-01-05 02:00:00,,,,,,,,,,,,,9.8,85.0,994.5,5.6,Clear sky
