Datetime,temp_c_api,humidity_api,pressure_api,windspeed_kph_api,condition_text_api
2026-01-04 00:00:00,9.1,92,992.7,3.6,Clear sky
2026-01-04 01:00:00,8.9,92,992.5,3.4,Clear sky
2026-01-04 02:00:00,8.7,93,992.5,4.3,Partly cloudy
2026-01-04 03:00:00,8.8,93,992.4,3.5,Partly cloudy
2026-01-04 04:00:00,9.6,93,992.1,4.5,Partly cloudy
2026-01-04 05:00:00,8.2,99,992.1,6.4,Partly cloudy
2026-01-04 06:00:00,8.7,98,992.6,5.6,Partly cloudy
2026-01-04 07:00:00,9.4,95,993.5,5.8,Partly cloudy
2026-01-04 08:00:00,10.4,90,994.5,5.5,Partly cloudy
2026-01-04 09:00:00,11.6,85,995.4,5.5,Clear sky
2026-01-04 10:00:00,13.9,77,995.9,5.2,Clear sky
2026-01-04 11:00:00,15.4,65,995.7,9.5,Partly cloudy
2026-01-04 12:00:00,15.8,63,994.9,7.9,Partly cloudy
2026-01-04 13:00:00,16.1,60,994.2,7.5,Drizzle
2026-01-04 14:00:00,16.7,58,993.7,7.4,Partly cloudy
2026-01-04 15:00:00,16.7,56,993.0,5.9,Partly cloudy
2026-01-04 16:00:00,16.4,58,992.7,4.2,Clear sky
2026-01-04 17:00:00,14.3,77,992.8,2.6,Partly cloudy
2026-01-04 18:00:00,13.4,76,993.2,0.9,Partly cloudy
2026-01-04 19:00:00,12.7,80,994.1,3.2,Partly cloudy
2026-01-04 20:00:00,12.6,83,994.9,5.5,Partly cloudy
2026-01-04 21:00:00,12.1,86,995.5,5.8,Clear sky
2026-01-04 22:00:00,11.4,88,995.5,6.5,Partly cloudy
2026-01-04 23:00:00,11.0,89,995.3,8.7,Clear sky
2026-01-05 00:00:00,10.6,85,994.9,9.2,Clear sky
2026-01-05 01:00:00,10.4,84,994.8,8.0,Clear sky
2026-01-05 02:00:00,9.8,85,994.5,5.6,Clear sky
2026-01-05 03:00:00,9.0,88,994.2,5.6,Clear sky
2026-01-05 04:00:00,8.6,89,994.2,5.5,Clear sky
2026-01-05 05:00:00,8.4,90,994.5,5.7,Clear sky
2026-01-05 06:00:00,8.1,92,994.8,4.8,Clear sky
2026-01-05 07:00:00,7.5,94,995.1,4.2,Clear sky
2026-01-05 08:00:00,8.9,91,995.9,5.7,Clear sky
2026-01-05 09:00:00,11.4,83,996.8,2.8,Clear sky
2026-01-05 10:00:00,13.8,73,997.2,3.8,Clear sky
2026-01-05 11:00:00,15.2,65,997.2,7.4,Clear sky
2026-01-05 12:00:00,16.0,64,996.2,5.5,Clear sky
2026-01-05 13:00:00,16.8,62,995.1,4.7,Clear sky
2026-01-05 14:00:00,17.2,62,994.6,6.3,Clear sky
2026-01-05 15:00:00,17.1,63,994.2,6.6,Clear sky
2026-01-05 16:00:00,16.6,67,994.0,8.9,Partly cloudy
2026-01-05 17:00:00,14.9,76,993.9,7.0,Partly cloudy
2026-01-05 18:00:00,13.6,83,994.0,6.4,Partly cloudy
2026-01-05 19:00:00,12.8,86,994.4,4.5,Partly cloudy
2026-01-05 20:00:00,12.8,86,994.6,5.3,Partly cloudy
2026-01-05 21:00:00,12.0,89,994.7,6.4,Clear sky
2026-01-05 22:00:00,11.0,91,994.5,4.8,Partly cloudy
2026-01-05 23:00:00,10.7,92,994.2,5.3,Partly cloudy
2026-01-06 00:00:00,10.4,93,993.9,5.8,Clear sky
2026-01-06 01:00:00,9.9,94,993.9,5.5,Clear sky
2026-01-06 02:00:00,9.3,95,993.4,5.7,Clear sky
2026-01-06 03:00:00,8.9,96,993.3,5.4,Clear sky
2026-01-06 04:00:00,7.8,98,993.1,5.0,Clear sky
2026-01-06 05:00:00,8.2,98,993.5,5.1,Partly cloudy
2026-01-06 06:00:00,7.7,99,993.8,3.5,Partly cloudy
2026-01-06 07:00:00,8.4,98,994.7,3.8,Partly cloudy
2026-01-06 08:00:00,9.7,95,995.6,4.9,Partly cloudy
2026-01-06 09:00:00,11.6,90,996.6,3.6,Partly cloudy
2026-01-06 10:00:00,13.7,82,997.0,6.7,Partly cloudy
2026-01-06 11:00:00,14.4,73,996.9,7.9,Partly cloudy
2026-01-06 12:00:00,15.6,69,996.2,7.3,Clear sky
2026-01-06 13:00:00,16.4,66,995.2,8.0,Clear sky
2026-01-06 14:00:00,16.9,65,994.6,7.6,Clear sky
2026-01-06 15:00:00,17.0,66,994.3,7.7,Clear sky
2026-01-06 16:00:00,16.4,69,994.1,8.0,Clear sky
2026-01-06 17:00:00,14.2,76,994.3,5.6,Clear sky
2026-01-06 18:00:00,12.7,83,994.5,5.9,Clear sky
2026-01-06 19:00:00,11.9,86,994.9,6.2,Clear sky
2026-01-06 20:00:00,10.9,89,995.4,6.0,Clear sky
2026-01-06 21:00:00,10.2,92,995.8,6.5,Clear sky
2026-01-06 22:00:00,9.8,93,995.9,6.5,Clear sky
2026-01-06 23:00:00,9.1,98,995.7,5.2,Clear sky
2026-01-07 00:00:00,9.1,98,995.3,5.4,Clear sky
2026-01-07 01:00:00,7.8,99,995.1,5.3,Clear sky
2026-01-07 02:00:00,7.6,99,995.0,5.3,Clear sky
2026-01-07 03:00:00,7.1,100,994.8,5.1,Clear sky
2026-01-07 04:00:00,6.7,100,994.5,4.5,Partly cloudy
2026-01-07 05:00:00,7.8,100,995.3,5.2,Partly cloudy
2026-01-07 06:00:00,8.1,100,995.7,4.6,Partly cloudy
2026-01-07 07:00:00,8.6,100,996.5,5.1,Partly cloudy
2026-01-07 08:00:00,9.2,99,997.0,6.8,Partly cloudy
2026-01-07 09:00:00,9.8,98,997.7,9.5,Partly cloudy
2026-01-07 10:00:00,11.0,91,998.2,9.3,Partly cloudy
2026-01-07 11:00:00,11.8,82,998.0,7.5,Partly cloudy
2026-01-07 12:00:00,13.7,74,997.2,5.5,Partly cloudy
2026-01-07 13:00:00,14.8,72,996.4,5.3,Clear sky
2026-01-07 14:00:00,15.4,69,995.8,5.9,Clear sky
2026-01-07 15:00:00,15.6,69,995.3,5.6,Clear sky
2026-01-07 16:00:00,15.1,71,995.0,5.3,Clear sky
2026-01-07 17:00:00,12.7,83,995.2,4.8,Clear sky
2026-01-07 18:00:00,11.4,88,995.5,7.2,Clear sky
2026-01-07 19:00:00,10.4,90,995.6,7.4,Clear sky
2026-01-07 20:00:00,9.8,92,995.9,6.6,Clear sky
2026-01-07 21:00:00,9.4,93,996.2,7.4,Clear sky
2026-01-07 22:00:00,8.9,94,995.9,7.3,Clear sky
2026-01-07 23:00:00,8.2,99,996.2,7.3,Partly cloudy
2026-01-08 00:00:00,8.1,100,995.7,6.6,Partly cloudy
2026-01-08 01:00:00,8.6,99,995.6,6.7,Partly cloudy
2026-01-08 02:00:00,9.1,98,995.9,6.7,Partly cloudy
2026-01-08 03:00:00,9.1,98,995.6,6.2,Partly cloudy
2026-01-08 04:00:00,9.0,98,995.4,4.6,Partly cloudy
2026-01-08 05:00:00,6.7,99,996.2,4.0,Partly cloudy
2026-01-08 06:00:00,6.8,99,996.5,3.6,Partly cloudy
